"APN"|"valid"|"geometry"
"062115220"|TRUE|list(c(6081998.14065927, 6082079.38426622, 6082050.19315145, 6082005.42956155, 6082021.8709685, 6082007.71796277, 6082013.38998065, 6081998.14065927, 1999143.3345017, 1999127.60161496, 1999058.92846103, 1999078.01341929, 1999117.47050265, 1999123.36797334, 1999136.98038502, 1999143.3345017))
"062115230"|TRUE|list(c(6081859.39515222, 6081847.52048654, 6081860.46579486, 6081885.24083069, 6081890.61074378, 6081896.83956918, 6081885.72731641, 6081859.39515222, 1998826.20569879, 1998840.15080304, 1998844.40536581, 1998833.22802387, 1998845.29185989, 1998842.48334308, 1998814.80671714, 1998826.20569879))
"062115230"|FALSE|list(c(6081912.62649644, 6081915.20518927, 6081949.45303339, 6081915.67204351, 6081921.75722262, 6081912.62649644, 1998881.80290229, 1998888.22549889, 1998873.65162111, 1998862.54927126, 1998877.705282, 1998881.80290229))
"062115250"|FALSE|list(c(6082029.33029991, 6082042.83602924, 6082006.09632157, 6082029.33029991, 1998731.66482975, 1998725.79652056, 1998724.02946898, 1998731.66482975))
"062115250"|TRUE|list(c(6082029.33029991, 6081996.72082381, 6081998.94922219, 6082038.23074078, 6082029.33029991, 1998731.66482975, 1998745.83381566, 1998750.95799059, 1998734.58977339, 1998731.66482975))
"062115260"|TRUE|list(c(6081942.9821978, 6081954.03454006, 6081998.36402926, 6081982.77404398, 6081981.28583033, 6081986.10081343, 6081942.9821978, 1998840.58809431, 1998866.26863093, 1998847.40422615, 1998811.5547466, 1998811.06565304, 1998822.62091748, 1998840.58809431))
"062116010"|TRUE|list(c(6082533.69556043, 6082514.40732897, 6082437.82263867, 6082438.45406202, 6082472.38027304, 6082469.61120726, 6082504.15961915, 6082510.17764621, 6082533.69556043, 1999166.21118689, 1999120.83597471, 1999133.42203374, 1999134.90785261, 1999146.05849117, 1999130.29729468, 1999124.22732541, 1999158.48147723, 1999166.21118689))
"062116020"|TRUE|list(c(6082459.72357928, 6082444.6867588, 6082450.59937268, 6082477.56670944, 6082491.99859095, 6082471.77239136, 6082562.98278338, 6082459.72357928, 1999063.71457699, 1999066.62653046, 1999080.8158863, 1999069.57890749, 1999104.21333761, 1999112.64146136, 1999097.65178949, 1999063.71457699))
"062116020"|TRUE|list(c(6082428.2283425, 6082417.13790988, 6082418.03094032, 6082428.2283425, 1999069.81378288, 1999071.96149913, 1999074.06303187, 1999069.81378288))
"062116030"|TRUE|list(c(6082449.11859, 6082448.96494919, 6082471.2965231, 6082469.17074646, 6082560.89645534, 6082449.11859, 1998997.16554093, 1998997.23075023, 1999050.8236716, 1999051.70946034, 1999033.9013412, 1998997.16554093))
"062116030"|TRUE|list(c(6082412.28950405, 6082367.12661039, 6082382.68837199, 6082431.54791423, 6082412.28950405, 1999012.79679759, 1999031.96514683, 1999068.49961052, 1999059.01375797, 1999012.79679759))
"062116040"|TRUE|list(c(6082419.14064288, 6082347.82462152, 6082363.207839, 6082388.79239981, 6082374.5607113, 6082422.89098523, 6082436.99025299, 6082475.76752251, 6082419.14064288, 1998956.38146054, 1998986.64922903, 1999022.76496227, 1999011.90618513, 1998977.75282221, 1998957.61399164, 1998991.44971727, 1998974.991599, 1998956.38146054))
"062116050"|TRUE|list(c(6082362.60544405, 6082328.24592287, 6082343.90583675, 6082386.16100519, 6082372.73149083, 6082362.60544405, 1998926.06305021, 1998940.68445222, 1998977.44905004, 1998959.51521649, 1998929.39090488, 1998926.06305021))
"062116050"|TRUE|list(c(6082394.11084197, 6082420.3027427, 6082419.57961429, 6082394.11084197, 1998956.14116653, 1998945.02486514, 1998944.78721402, 1998956.14116653))
"062116060"|TRUE|list(c(6082346.30023862, 6082308.65282528, 6082324.32720622, 6082371.26302377, 6082358.39052196, 6082346.30023862, 1998878.66297603, 1998894.68349745, 1998931.48425271, 1998911.51111474, 1998882.63627979, 1998878.66297603))
"062116070"|TRUE|list(c(6082344.28938409, 6082289.05889345, 6082304.73412295, 6082326.28751745, 6082312.92571764, 6082352.33534733, 6082344.28938409, 1998825.17930397, 1998848.68242258, 1998885.48329184, 1998876.31143679, 1998844.2450103, 1998827.8234282, 1998825.17930397))
"062116070"|TRUE|list(c(6082385.05498643, 6082401.93114109, 6082378.91000128, 6082385.05498643, 1998851.3034638, 1998844.1219665, 1998836.55658846, 1998851.3034638))
"062116070"|TRUE|list(c(6082378.91000128, 6082358.86863093, 6082364.17217856, 6082378.91000128, 1998836.55658846, 1998829.97044441, 1998842.69798528, 1998836.55658846))
"062116080"|TRUE|list(c(6082344.50287886, 6082269.46490802, 6082285.14010642, 6082330.7887329, 6082317.7839682, 6082353.8464785, 6082344.50287886, 1998770.74967221, 1998802.68145679, 1998839.48225303, 1998820.05665912, 1998788.84743266, 1998773.82015164, 1998770.74967221))
"062116080"|TRUE|list(c(6082366.73830978, 6082402.14412711, 6082353.8464785, 6082366.73830978, 1998804.75845772, 1998789.69165107, 1998773.82015164, 1998804.75845772))
"062116090"|TRUE|list(c(6082280.06901321, 6082249.87092259, 6082265.54612099, 6082292.71671775, 6082281.90871957, 6082297.07953426, 6082295.63829619, 6082280.06901321, 1998743.83007712, 1998756.68049098, 1998793.48128723, 1998781.91906569, 1998759.19178226, 1998751.97715277, 1998748.94641638, 1998743.83007712))
"062116120"|TRUE|list(c(6082177.9079625, 6082212.87173005, 6082258.08883484, 6082240.13934381, 6082237.13597818, 6082247.36227277, 6082233.37180275, 6082220.70728902, 6082192.72605005, 6082180.06148253, 6082177.9079625, 1998675.72527006, 1998756.12344389, 1998736.88131018, 1998696.1752393, 1998695.18829777, 1998719.73017284, 1998725.55982992, 1998695.1666996, 1998706.82605351, 1998676.43294226, 1998675.72527006))
"062116140"|TRUE|list(c(6082158.47645033, 6082201.06303732, 6082180.17081139, 6082083.19981767, 6082158.47645033, 1998784.70428079, 1998766.58236281, 1998718.54266802, 1998759.96605956, 1998784.70428079), c(6082127.38507424, 6082170.84111107, 6082185.38330099, 6082141.92731152, 6082127.38507424, 1998744.36648809, 1998726.25866121, 1998761.15792004, 1998779.26572379, 1998744.36648809))
"062116150"|TRUE|list(c(6082165.69355245, 6082167.91699952, 6082157.73180566, 6082172.85511979, 6082167.60689748, 6082108.05265961, 6082165.69355245, 1998835.97201287, 1998835.02586074, 1998810.5833347, 1998804.28170494, 1998791.68663993, 1998817.02897582, 1998835.97201287))
"062116150"|TRUE|list(c(6082228.22000059, 6082247.14306618, 6082231.46785256, 6082212.83425788, 6082228.22000059, 1998809.36488878, 1998801.31248265, 1998764.51165067, 1998772.44087338, 1998809.36488878))
"062116160"|TRUE|list(c(6082265.15442809, 6082266.73708475, 6082251.06185322, 6082233.02670692, 6082238.88566394, 6082254.60486811, 6082265.15442809, 1998847.98700918, 1998847.31352624, 1998810.51265223, 1998818.1872186, 1998831.33011879, 1998824.3224597, 1998847.98700918))
"062116170"|TRUE|list(c(6082247.30568772, 6082286.33107215, 6082270.65587179, 6082172.90908863, 6082182.72214789, 6082233.33373164, 6082247.30568772, 1998909.92119145, 1998893.31449668, 1998856.51369581, 1998898.10881378, 1998901.33386277, 1998878.53169984, 1998909.92119145))
"062116180"|TRUE|list(c(6082261.0515829, 6082305.92417081, 6082290.2497746, 6082203.41223324, 6082204.42188192, 6082241.74781465, 6082255.6762032, 6082254.08192364, 6082261.0515829, 1998958.41057052, 1998939.31549335, 1998902.51470225, 1998939.4671773, 1998939.7990022, 1998923.15895275, 1998955.40922922, 1998956.11996529, 1998958.41057052))
"062116190"|TRUE|list(c(6082232.7225108, 6082236.2882573, 6082225.60806043, 6082241.99584841, 6082237.2967655, 6082175.30530394, 6082232.7225108, 1999024.63790271, 1999023.1245129, 1998997.49308768, 1998990.66443617, 1998979.38696331, 1999005.76680448, 1999024.63790271))
"062116190"|TRUE|list(c(6082318.00401142, 6082325.49536761, 6082309.84288733, 6082302.64335522, 6082318.00401142, 1998988.4423533, 1998985.26283897, 1998948.51569293, 1998951.5793812, 1998988.4423533))
"062116200"|TRUE|list(c(6082361.43949783, 6082329.41416242, 6082288.19594969, 6082305.75669513, 6082361.43949783, 1999069.64959647, 1998994.46301363, 1999011.95702868, 1999051.34851358, 1999069.64959647))
"062116200"|FALSE|list(c(6082361.43949783, 6082362.60574923, 6082367.11821182, 6082361.43949783, 1999069.64959647, 1999072.38763048, 1999071.51600065, 1999069.64959647))
